dataset,sample_index,segment_index,true,pred,correct,confidence,start_time,end_time,duration,window_frames,sustain_ratio,attack_pos,total_energy,spectral_std,spectral_flatness,error
normal_sustain,0,0,G:min,G:min,True,0.9544601440429688,0.101,0.862,0.761,112,0.1802795195922722,0.11607142857142858,1154.1037187576294,12.817618266744454,0.34609813914650583,False
normal_sustain,0,1,G:min,G:min,True,0.9263068437576294,1.294,2.003,0.7090000000000001,110,0.17589104138556472,0.10909090909090909,1139.9568510055542,12.83899186334671,0.34514075154269436,False
normal_sustain,0,2,G:dim,G:dim,True,0.9999969005584717,2.469,3.174,0.7050000000000001,110,0.1394711222289988,0.11818181818181818,1230.7502961158752,18.15272360965546,0.3347176130345067,False
normal_sustain,0,3,G#:dim,G#:dim,True,0.9984719157218933,3.646,4.422,0.7759999999999998,112,0.1945444852075166,0.09821428571428571,1321.6378977298737,16.066397467453182,0.36150946225286246,False
normal_sustain,0,4,C#:min,C#:min,True,0.2600102126598358,4.835,5.847,1.0120000000000005,142,0.18721267826826432,0.07042253521126761,1341.4997642040253,10.758339991160113,0.5004666723186231,False
normal_sustain,0,5,A:min,A:min,True,0.9979332685470581,6.347,7.119,0.7719999999999994,114,0.17405233982958151,0.07894736842105263,1122.141708612442,12.494441988440885,0.37062649001827164,False
normal_sustain,0,6,C:dim,C:dim,True,0.9811865091323853,7.566,8.618,1.0520000000000005,128,0.206189608102775,0.125,1302.3641185760498,9.749276079486988,0.479916465310879,False
normal_sustain,0,7,A:min,A:min,True,0.9958048462867737,8.936,9.872,0.9359999999999999,125,0.15731456464009388,0.072,1148.1250183582306,12.566400852399253,0.3699908706999459,False
normal_sustain,0,8,F#:dim,F#:dim,True,0.825557291507721,10.268,11.135,0.8669999999999991,128,0.16135626976328918,0.078125,1204.7391498088837,10.917473893628609,0.40117413423966003,False
normal_sustain,0,9,D:dim,D:dim,True,0.882570743560791,11.631,12.681,1.049999999999999,97,0.28081361807568817,0.14432989690721648,1217.6449246406555,11.799480295203608,0.3996812985980795,False
normal_sustain,1,0,G#:dim,G#:dim,True,0.9738945960998535,0.1,0.94,0.84,117,0.16656347609782857,0.09401709401709402,1332.6124985218048,16.296629511524877,0.34423594134480556,False
normal_sustain,1,1,D#:dim,D#:dim,True,0.9337196946144104,1.353,2.069,0.716,96,0.25890683412656906,0.11458333333333333,1147.4411172866821,9.90909132809786,0.43211015872834474,False
normal_sustain,1,2,G#:min,G#:min,True,0.9994882345199585,2.374,3.234,0.8599999999999999,121,0.16503321747244715,0.06611570247933884,1400.6933517456055,16.64086322492548,0.3863866560364131,False
normal_sustain,1,3,E:dim,E:dim,True,0.9894569516181946,3.665,4.35,0.6849999999999996,96,0.25095538124269784,0.125,1160.4413423538208,10.509758270712256,0.4452265859924474,False
normal_sustain,1,4,G#:min,G#:min,True,0.997867226600647,4.692,5.448,0.7560000000000002,107,0.20960690724689807,0.1308411214953271,1357.3649625778198,16.22856658675058,0.3701940666822062,False
normal_sustain,1,5,C#:dim,C#:dim,True,0.996994137763977,5.824,6.483,0.6589999999999998,92,0.3015729568656432,0.14130434782608695,1206.799063205719,10.428712431105723,0.45229894437399226,False
normal_sustain,1,6,C:dim,C:dim,True,0.9266512989997864,6.812,7.624,0.8119999999999994,120,0.22293152966894314,0.11666666666666667,1247.947186946869,8.67697114052504,0.5380309285711179,False
normal_sustain,1,7,E:maj,E:maj,True,0.8140481114387512,8.095,8.816,0.7210000000000001,110,0.1944644924585019,0.07272727272727272,1360.2131340503693,15.019589847235094,0.4075025624172758,False
normal_sustain,1,8,F#:min,F#:min,True,0.6968450546264648,9.264,10.194,0.9300000000000015,121,0.1562730961124638,0.0743801652892562,1077.9733908176422,9.805543923107653,0.46209043415729173,False
normal_sustain,1,9,G:min,G:min,True,0.544157087802887,10.55,11.378,0.8279999999999994,75,0.31645616775532015,0.16,1011.4361209869385,10.890950662303744,0.3859071272518828,False
normal_sustain,2,0,A:min,A:min,True,0.9994156360626221,0.1,0.922,0.8220000000000001,117,0.14412808753640804,0.05128205128205128,1195.6257877349854,14.73064874176041,0.3192319417863967,False
normal_sustain,2,1,B:min,B:min,True,0.9997053742408752,1.345,2.157,0.812,122,0.14467629829159706,0.05737704918032787,1231.4686932563782,16.13627368845582,0.3266792273394507,False
normal_sustain,2,2,D#:min,D#:min,True,0.999975323677063,2.653,3.539,0.8860000000000001,113,0.18269152437593,0.07079646017699115,1067.0874769687653,8.844939056249459,0.4574528097156174,False
normal_sustain,2,3,D:min,D:min,True,0.9982411861419678,3.854,4.558,0.7039999999999997,101,0.19125153086695879,0.07920792079207921,1164.8785862922668,11.840097060462307,0.4050389567231624,False
normal_sustain,2,4,C:dim,C:dim,True,0.9899943470954895,4.929,5.663,0.734,113,0.1967121319561627,0.07964601769911504,1181.8434138298035,9.366069015371117,0.45605946213453896,False
