orig_index,file,label,cqt_hash,reason,kept_file
299,A#_major_4/A#_major_4-189.ogg,A#_major_4,5ddcdb9e6fc8d68c0c6d9315da87b195,cqt_dup,A#_major_4/A#_major_4-12.ogg
306,A#_major_4/A#_major_4-195.ogg,A#_major_4,adc5ebdc90a770dc558afa1475ac8773,cqt_dup,A#_major_4/A#_major_4-10.ogg
314,A#_major_4/A#_major_4-21.ogg,A#_major_4,cf9cd4892ef2f6d17ef17e67b40d4e40,cqt_dup,A#_major_4/A#_major_4-176.ogg
328,A#_major_4/A#_major_4-34.ogg,A#_major_4,079244d6e5e301564f280e594179445e,cqt_dup,A#_major_4/A#_major_4-169.ogg
348,A#_major_4/A#_major_4-52.ogg,A#_major_4,9d7a0bc4ca8e0a96c797df7abcfcb160,cqt_dup,A#_major_4/A#_major_4-159.ogg
360,A#_major_4/A#_major_4-63.ogg,A#_major_4,21752772f658ae20bbb13a04ec8ec645,cqt_dup,A#_major_4/A#_major_4-125.ogg
362,A#_major_4/A#_major_4-65.ogg,A#_major_4,1306673e59540a33c33768ed97da3494,cqt_dup,A#_major_4/A#_major_4-121.ogg
371,A#_major_4/A#_major_4-73.ogg,A#_major_4,dac432dd4b10eeb27a43e3a4fe8aeacd,cqt_dup,A#_major_4/A#_major_4-103.ogg
384,A#_major_4/A#_major_4-85.ogg,A#_major_4,dc396b7d82fbde326d3fd95e5fea69be,cqt_dup,A#_major_4/A#_major_4-82.ogg
388,A#_major_4/A#_major_4-89.ogg,A#_major_4,1ba0c1aad74bfa320641685710a16d91,cqt_dup,A#_major_4/A#_major_4-3.ogg
390,A#_major_4/A#_major_4-90.ogg,A#_major_4,89cdae280dbca5e4d9852575a9ed31fb,cqt_dup,A#_major_4/A#_major_4-7.ogg
393,A#_major_4/A#_major_4-93.ogg,A#_major_4,7e7afa25e71a32f0ef9e21a85bdf9134,cqt_dup,A#_major_4/A#_major_4-77.ogg
2543,C_diminished_4/C_diminished_4-48.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2544,C_diminished_4/C_diminished_4-49.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2546,C_diminished_4/C_diminished_4-50.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2547,C_diminished_4/C_diminished_4-51.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2548,C_diminished_4/C_diminished_4-52.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2549,C_diminished_4/C_diminished_4-53.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2550,C_diminished_4/C_diminished_4-54.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2551,C_diminished_4/C_diminished_4-55.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2552,C_diminished_4/C_diminished_4-56.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2553,C_diminished_4/C_diminished_4-57.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2554,C_diminished_4/C_diminished_4-58.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2555,C_diminished_4/C_diminished_4-59.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2557,C_diminished_4/C_diminished_4-60.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2558,C_diminished_4/C_diminished_4-61.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2559,C_diminished_4/C_diminished_4-62.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
2560,C_diminished_4/C_diminished_4-63.ogg,C_diminished_4,5144f308bdfd87788aa94f408e39e449,silence,
